,profile,target1,target2,target3,target4,target5,target6,target7
0,US Core Pediatric Head Occipital Frontal Circumference Percentile Profile,,,,,,,
1,US Core Pediatric BMI for Age Observation Profile,,,,,,,
2,US Core Pediatric Weight for Height Observation Profile,,,,,,,
3,US Core ADI DocumentReference Profile,,,,,,,
4,US Core AllergyIntolerance Profile,PractitionerRole,US Core Patient Profile,US Core Practitioner Profile,US Core RelatedPerson Profile,,,
5,US Core Average Blood Pressure Profile,,,,,,,
6,US Core Blood Pressure Profile,,,,,,,
7,US Core BMI Profile,,,,,,,
8,US Core Body Height Profile,,,,,,,
9,US Core Body Temperature Profile,,,,,,,
10,US Core Body Weight Profile,,,,,,,
11,US Core Care Experience Preference Profile,PractitionerRole,US Core CareTeam Profile,US Core Organization Profile,US Core Patient Profile,US Core Practitioner Profile,US Core RelatedPerson Profile,
12,US Core CarePlan Profile,Device,PractitionerRole,US Core CareTeam Profile,US Core Organization Profile,US Core Patient Profile,US Core Practitioner Profile,US Core RelatedPerson Profile
13,US Core CareTeam Profile,,,,,,,
14,US Core Condition Encounter Diagnosis Profile,PractitionerRole,US Core Patient Profile,US Core Practitioner Profile,US Core RelatedPerson Profile,,,
15,US Core Condition Problems and Health Concerns Profile,PractitionerRole,US Core Patient Profile,US Core Practitioner Profile,US Core RelatedPerson Profile,,,
16,US Core Coverage Profile,,,,,,,
17,US Core DiagnosticReport Profile for Laboratory Results Reporting,,,,,,,
18,US Core DiagnosticReport Profile for Report and Note Exchange,,,,,,,
19,US Core DocumentReference Profile,,,,,,,
20,US Core Encounter Profile,,,,,,,
21,US Core Goal Profile,,,,,,,
22,US Core Head Circumference Profile,,,,,,,
23,US Core Heart Rate Profile,,,,,,,
24,US Core Immunization Profile,,,,,,,
25,US Core Implantable Device Profile,,,,,,,
26,US Core Location Profile,,,,,,,
27,US Core Medication Profile,,,,,,,
28,US Core MedicationDispense Profile,,,,,,,
29,US Core MedicationRequest Profile,Condition,Observation,,,,,
30,US Core Observation ADI Documentation Profile,,,,,,,
31,US Core Observation Clinical Result Profile,,,,,,,
32,US Core Laboratory Result Observation Profile,,,,,,,
33,US Core Observation Occupation Profile,PractitionerRole,US Core CareTeam Profile,US Core Organization Profile,US Core Patient Profile,US Core Practitioner Profile,US Core RelatedPerson Profile,
34,US Core Observation Pregnancy Intent Profile,PractitionerRole,US Core CareTeam Profile,US Core Organization Profile,US Core Patient Profile,US Core Practitioner Profile,US Core RelatedPerson Profile,
35,US Core Observation Pregnancy Status Profile,PractitionerRole,US Core CareTeam Profile,US Core Organization Profile,US Core Patient Profile,US Core Practitioner Profile,US Core RelatedPerson Profile,
36,US Core Observation Screening Assessment Profile,,,,,,,
37,US Core Observation Sexual Orientation Profile,,,,,,,
38,US Core Organization Profile,,,,,,,
39,US Core Patient Profile,,,,,,,
40,US Core Practitioner Profile,,,,,,,
41,US Core PractitionerRole Profile,,,,,,,
42,US Core Procedure Profile,Condition,DiagnosticReport,DocumentReference,Observation,Procedure,US Core CarePlan Profile,US Core ServiceRequest Profile
43,US Core Provenance Profile,,,,,,,
44,US Core Pulse Oximetry Profile,,,,,,,
45,US Core QuestionnaireResponse Profile,,,,,,,
46,US Core RelatedPerson Profile,,,,,,,
47,US Core Respiratory Rate Profile,,,,,,,
48,US Core ServiceRequest Profile,Condition,DiagnosticReport,DocumentReference,Observation,,,
49,US Core Simple Observation Profile,ImagingStudy,Media,MolecularSequence,Observation,US Core DocumentReference Profile,US Core QuestionnaireResponse Profile,
50,US Core Smoking Status Observation Profile,,,,,,,
51,US Core Specimen Profile,,,,,,,
52,US Core Treatment Intervention Preference Profile,PractitionerRole,US Core CareTeam Profile,US Core Organization Profile,US Core Patient Profile,US Core Practitioner Profile,US Core RelatedPerson Profile,
53,US Core Vital Signs Profile,,,,,,,
